Result Log 
Problem Instance Path = ../problem1.txt 
Random Seed = 1506107151.992469 
Parameters used = {'fitness evaluations': 1000, 'number of runs': 30, 'problem solution location': 'solutions/prob1_solution.txt'}

Run 1
2	11
7	15
80	16
395	21

Run 2
2	2
4	3
5	5
17	10
34	11
57	14
190	18
463	20
644	23

Run 3
2	4
4	6
8	11
130	17
276	21

Run 4
2	11
60	12
61	16
264	17
348	18
402	19
804	20

Run 5
2	3
3	8
17	11
27	13
38	18
117	19
120	21
172	22

Run 6
2	8
18	10
37	15
94	22

Run 7
2	7
8	16
56	17
163	18
237	22
724	29

Run 8
2	5
6	8
8	14
90	15
99	17
469	18
544	19
564	20
610	22

Run 9
2	2
3	5
8	6
11	10
32	26

Run 10
2	2
3	7
4	11
36	13
112	19
145	22
898	25

Run 11
2	5
5	7
21	9
23	11
50	15
58	18
169	23
916	24

Run 12
2	9
11	15
22	16
221	19
250	21

Run 13
2	6
3	7
8	9
15	11
22	13
42	14
81	18
113	19
771	21

Run 14
2	2
5	3
6	6
14	13
36	17
48	19
54	26

Run 15
3	1
5	4
6	5
17	6
19	7
25	16
49	22
352	24

Run 16
2	5
3	11
20	16
193	19

Run 17
2	7
9	8
11	11
24	14
25	18
92	19
308	24

Run 18
2	5
4	6
8	13
61	20
297	21

Run 19
2	3
3	9
13	10
30	14
140	19
581	26

Run 20
2	7
4	13
20	16
83	17
316	22

Run 21
2	4
6	9
10	10
17	12
103	14
263	15
367	17
600	18

Run 22
2	6
4	7
7	8
19	10
28	14
227	25

Run 23
2	4
5	5
6	6
7	8
14	11
35	13
41	16
93	17
239	24

Run 24
2	5
12	6
17	15
169	18
220	21
413	24

Run 25
3	2
4	4
5	5
8	20
727	22

Run 26
3	3
6	4
8	5
9	14
89	18

Run 27
2	4
7	6
8	7
12	8
14	9
28	12
44	14
60	24

Run 28
2	2
5	4
6	5
7	8
8	9
18	14
35	16
111	17
538	19
616	21

Run 29
2	7
16	8
19	10
26	12
28	17
105	18
127	20
921	21

Run 30
2	3
6	10
10	12
30	13
36	16
190	22
191	23

