Result Log
Random Seed = 1505256850.848619

Run 1
2	5
3	13
6	19
14	31
54	35
78	52

Run 2
2	15
12	20
36	27
126	30
143	31
241	38
507	44
761	49

Run 3
2	8
3	19
13	24
57	32
67	38
244	49

Run 4
2	4
3	32
34	35
47	40
77	42
590	46
631	52

Run 5
2	4
3	20
4	32
21	35
75	36
200	45
351	56

Run 6
2	5
7	9
11	16
14	30
19	42
667	44
771	61

Run 7
2	17
5	19
12	22
14	38
507	42
744	45

Run 8
2	9
4	11
7	13
10	16
18	31
27	39
108	40
298	49

Run 9
2	18
18	28
59	30
72	33
139	46
588	56

Run 10
2	2
3	10
5	12
8	23
9	26
77	31
84	41
222	46

Run 11
2	2
3	10
4	17
11	25
40	27
42	36
327	37
422	41
803	50

Run 12
2	9
3	10
6	20
10	27
69	31
79	33
115	34
215	38
453	45
991	46

Run 13
2	10
5	22
13	25
34	27
42	35
94	54

Run 14
2	10
6	25
32	40
186	50
910	62

Run 15
2	13
3	25
11	26
17	28
36	36
267	37
411	43
515	44
547	46

Run 16
2	1
3	6
4	19
10	22
13	26
21	33
50	37
180	43
237	44
246	61

Run 17
2	13
3	17
7	21
10	24
13	29
64	33
69	36
178	37
355	56

Run 18
2	7
3	25
26	26
31	29
82	30
95	38
103	59

Run 19
2	45

Run 20
2	24
9	32
93	40
226	42
496	47

Run 21
2	18
5	34
39	36
148	40
281	45
292	57

Run 22
2	6
3	9
4	18
17	37
190	39
434	48

Run 23
2	18
6	27
21	35
38	52

Run 24
2	13
3	20
6	25
33	29
58	46

Run 25
2	18
12	19
18	27
26	33
98	36
277	37
312	46

Run 26
2	16
6	45
87	52

Run 27
2	3
3	28
23	32
381	39
514	46

Run 28
2	12
3	16
5	18
19	21
41	31
58	35
107	42
350	43
461	44
726	56

Run 29
2	6
3	12
5	28
19	30
38	35
149	37
286	50
384	53

Run 30
2	8
3	15
9	17
22	34
112	35
113	36
186	42
782	45
890	46
973	57

